Name;Acronym;State Acronym;Institution Type
Faculdade de Caldas Novas;UNICALDAS;GO;Outros
Faculdade de Campina Grande;FAC-CG;PB;Outros
Faculdade de Campina Grande do Sul;FACSUL;PR;Outros
Faculdade de Campo Verde;FCV;MT;Outros
Faculdade de Cascavel;FADEC;PR;Outros
Faculdade de Castelo;FACASTELO;ES;Outros
Faculdade de Ciência e Tecnologia;FACITEC;PR;Outros
Faculdade de Ciência e Tecnologia Albert Einstein;FACTAE;BA;Outros
Faculdade de Ciência e Tecnologia de Montes Claros;FACIT;MG;Outros
Faculdade de Ciências Administrativas;FCA;MT;Outros
Faculdade de Ciências Administrativas de Curvelo;FACIAC;MG;Outros
Faculdade de Ciências Administrativas e Contábeis de Itabira;FACCI;MG;Outros
Faculdade de Ciências Administrativas e Contábeis Santa Lúcia;FCACSL;SP;Outros
Faculdade de Ciências Administrativas e de Tecnologia;FATEC;RO;Outros
Faculdade de Ciências Agrárias de Andradina;FCAA;SP;Outros
Faculdade de Ciências Agrárias de Araripina;FACIAGRA;PE;Outros
Faculdade de Ciências Agrárias e da Saúde;FAS;BA;Outros
Faculdade de Ciências Agrárias e Exatas de Primavera do Leste;UNICEN;MT;Outros
Faculdade de Ciências Agrárias, Biológicas, Exatas e Sociais;FABES;BA;Outros
Faculdade de Ciências Agro- Ambientais;FAGRAM;RJ;Outros
Faculdade de Ciências Aplicadas de Cascavel;FACIAP;PR;Outros
Faculdade de Ciências Aplicadas de Minas;FACIMINAS;MG;Outros
Faculdade de Ciências Aplicadas Doutor Leão Sampaio;LEÃO;CE;Outros
Faculdade de Ciências Aplicadas e Sociais de Petrolina;FACAPE;PE;Outros
Faculdade de Ciências Aplicadas Sagrado Coração;UNILINHARES;ES;Outros
Faculdade de Ciências Biológicas e da Saúde;FACIBIOS;MG;Outros
Faculdade de Ciências Biológicas e da Saúde;FACISA;MG;Outros
Faculdade de Ciências Biológicas e da Saúde de União da Vitória;Uniguaçu;PR;Outros
Faculdade de Ciências Biológicas Jk;Faculdade JK;DF;Outros
Faculdade de Ciências Biomédicas de Cacoal;FACIMED;RO;Outros
Faculdade de Ciências Biomédicas do Espírito Santo;PIO XII - BIO;ES;Outros
Faculdade de Ciências Contábeis;FACIC;BA;Outros
Faculdade de Ciências Contábeis - Maceió;SEUNE;AL;Outros
Faculdade de Ciências Contábeis de Afonso Cláudio;ISEAC;ES;Outros
Faculdade de Ciências Contábeis de Alta Floresta;FACTERFLOR;MT;Outros
Faculdade de Ciências Contábeis de Araguaína;ITPAC;TO;Outros
Faculdade de Ciências Contábeis de Assis;FCCA;SP;Outros
Faculdade de Ciências Contábeis de Itabirito;FACCI;MG;Outros
Faculdade de Ciências Contábeis de Itapetininga;FCCI;SP;Outros
Faculdade de Ciências Contábeis de Jequié;FCCJ;BA;Outros
Faculdade de Ciências Contábeis de Lucélia;Cealpa;SP;Outros
Faculdade de Ciências Contábeis de Navirai;FACINAV;MS;Outros
Faculdade de Ciências Contábeis de Nova Andradina - Facinan;FACINAN;MS;Outros
Faculdade de Ciências Contábeis de Ponta Porã;FCCPP;MS;Outros
Faculdade de Ciências Contábeis de Ponte Nova;FACCO;MG;Outros
Faculdade de Ciências Contábeis de Recife;FACCOR;PE;Outros
Faculdade de Ciências Contábeis e Administrativas de Avaré;IESA/FACCAA;SP;Outros
Faculdade de Ciências Contábeis e Administrativas de Cachoeiro do Itapemirim;FACCACI;ES;Outros
Faculdade de Ciências Contábeis e Administrativas São Judas Tadeu;FCCASJT;RS;Outros
Faculdade de Ciências Contábeis e de Administração de Empresas;FCCAE;RJ;Outros
Faculdade de Ciências Contábeis e de Administração do Vale do Juruena;AJES;MT;Outros
Faculdade de Ciências Contábeis Luiz Mendes;LUMEN Faculdades;PB;Outros
Faculdade de Ciências da Administração de Garanhuns;FAGA;PE;Outros
Faculdade de Ciências da Administração do Limoeiro;FACAL;PE;Outros
Faculdade de Ciências da Fundação Instituto Tecnológico de Osasco;FAC-FITO;SP;Outros
Faculdade de Ciências da Saúde;FASU;SP;Outros
Faculdade de Ciências da Saúde Archimedes Theodoro;FAC - SAUDE ARTHE;MG;Outros
Faculdade de Ciências da Saúde da Serra;FABAVI;ES;Outros
Faculdade de Ciências da Saúde de Campos Gerais;FACICA;MG;Outros
Faculdade de Ciências da Saúde de São Paulo;FACIS;SP;Outros
Faculdade de Ciências de Brasília - Facibra;PROJEÇÃO;DF;Outros
Faculdade de Ciências de Guarulhos;Facig;SP;Outros
Faculdade de Ciências de Timbaúba;FACET;PE;Outros
Faculdade de Ciências de Wenceslau Braz;FACIBRA;PR;Outros
Faculdade de Ciências e Educação de Rubiataba;FACER;GO;Outros
Faculdade de Ciências e Educação do Espírito Santo;UNIVES;ES;Outros
Faculdade de Ciências e Educação Sena Aires;FACESA;GO;Outros
Faculdade de Ciências e Letras;Academia de Ensino;SP;Outros
Faculdade de Ciências e Letras de Bragança Paulista;FESB;SP;Outros
Faculdade de Ciências e Tecnologia de Birigui;FATEB;SP;Outros
Faculdade de Ciências e Tecnologia de Teresina;FACET;PI;Outros
Faculdade de Ciências e Tecnologia de Unaí - Factu;FACTU;MG;Outros
Faculdade de Ciências e Tecnologia Mater Christi;MATER CHRISTI;RN;Outros
Faculdade de Ciências Econômicas;Facamp;SP;Outros
Faculdade de Ciências Econômicas da Região Carbonífera;FACIERC;SC;Outros
Faculdade de Ciências Econômicas de Bauru;FCEB;SP;Outros
Faculdade de Ciências Econômicas de Conselheiro Lafaiete;FACEL;MG;Outros
Faculdade de Ciências Econômicas do Triângulo Mineiro;FCETM;MG;Outros
Faculdade de Ciências Econômicas e Administrativas de Vila Velha;UNIVILA;ES;Outros
Faculdade de Ciências Econômicas e Administrativas Santa Rita de Cássia;FACEAS;SP;Outros
Faculdade de Ciências Econômicas, Administrativas e Contábeis de Divinópolis;FACED;MG;Outros
Faculdade de Ciências Econômicas, Administrativas e Contábeis de São Sebastião d;FACEAC;MG;Outros
Faculdade de Ciências Econômicas, Administrativas e da Computação Dom Bosco;FCEACDB;RJ;Outros
Faculdade de Ciências Educacionais;FACE;BA;Outros
Faculdade de Ciências Educacionais e Sistemas Integrados;FACESI;PR;Outros
Faculdade de Ciências Empresariais;FACEMP;BA;Outros
Faculdade de Ciências Empresariais e Estudos Costeiros de Natal;FACEN;RN;Outros
Faculdade de Ciências Exatas;FAVALE;MG;Outros
Faculdade de Ciências Exatas e Humanas da Campanha;FCCP;MG;Outros
Faculdade de Ciências Exatas e Tecnológicas de União da Vitória;UNIGUAÇU;PR;Outros
Faculdade de Ciências Exatas e Tecnológicas Santo Agostinho - Facet;FACET;MG;Outros
Faculdade de Ciências Gerenciais;FACIG;SP;Outros
