Name,Acronym,city,state,country_name,country_code
Centro Universitário de Brusque,UNIFEBE,Brusque,None,Brazil,BR
Universidade do Contestado,UNC,Caçador,None,Brazil,BR
Mato Grosso State University,None,Cáceres,None,Brazil,BR
Pontifícia Universidade Católica de Campinas,None,Campinas,None,Brazil,BR
Universidade Municipal de São Caetano do Sul,USCS,São Caetano do Sul,None,Brazil,BR
Centro Universitário Central Paulista,UNICEP,São Carlos,None,Brazil,BR
Universidade Salgado de Oliveira,UNIVERSO,São Gonçalo,None,Brazil,BR
Centro Universitário da Fundação de Ensino Octávio Bastos,UNIFEOB,São João da Boa Vista,None,Brazil,BR
Centro Universitário Municipal de São José,USJ,São José,None,Brazil,BR
Dom Bosco Catholic University,UCDB,Campo Grande,None,Brazil,BR
Centro Universitário de Rio Preto,UNIRP,São José do Rio Preto,None,Brazil,BR
Centro Universitario Fluminense,UNIFLU,Rio de Janeiro,None,Brazil,BR
Centro Universitário do Norte Paulista,UNORP,São José do Rio Preto,None,Brazil,BR
Universidade La Salle,None,Canoas,None,Brazil,BR
Anhanguera-Uniderp University,None,Campo Grande,None,Brazil,BR
Centro Universitário do Maranhão,UNICEUMA,São Luís,None,Brazil,BR
Centro Universitário Adventista de São Paulo,UNASP,São Paulo,None,Brazil,BR
Centro Universitário Belas Artes de São Paulo,None,São Paulo,None,Brazil,BR
Centro Universitário Capital,UNICAPITAL,São Paulo,None,Brazil,BR
Centro Universitário de Votuporanga,UNIFEV,Votuporanga,None,Brazil,BR
Centro Universitario FIAM FAAM,None,São Paulo,None,Brazil,BR
Centro Universitário Ítalo Brasileiro,UniÍtalo,São Paulo,None,Brazil,BR
Centro Universitário Paulistano,UP,São Paulo,None,Brazil,BR
Centro Universitário Sant’Anna,None,São Paulo,None,Brazil,BR
Senac University Center,None,São Paulo,None,Brazil,BR
Universidade Brasil,UB,São Paulo,None,Brazil,BR
Universidade São Judas Tadeu,USJT,São Paulo,None,Brazil,BR
Universidade São Marcos,USM - SMARCOS,São Paulo,None,Brazil,BR
Centro Universitário de Sete Lagoas,UNIFEMM,Sete Lagoas,None,Brazil,BR
State University of Vale do Acaraú,UVA,Sobral,None,Brazil,BR
Universidade de Sorocaba,UNISO,Sorocaba,None,Brazil,BR
Centro Universitário Serra dos Órgãos,UNIFESO,Teresópolis,None,Brazil,BR
Centro Universitário do Triângulo,UNITRI,Uberlândia,None,Brazil,BR
Centro Universitário de União da Vitória,Uniuv,União da Vitória,None,Brazil,BR
Centro Universitário do Sul de Minas,UNIS-MG,Varginha,None,Brazil,BR
Centro Universitário de Várzea Grande,UNIVAG,Várzea Grande,None,Brazil,BR
University of Vassouras,None,Vassouras,None,Brazil,BR
Universidade Vila Velha,None,Vila Velha,None,Brazil,BR
Centro Universitário Geraldo Di Biase,UGB,Volta Redonda,None,Brazil,BR
